"Daily temperatures (mean, min, max) for Richmond, VA. Jan 1, 1939 - Feb 20, 2024",,,
Datasource: NCDC Daily Data,,,
"Station: USW00013740, Richmond Airport",,,
,,,
YEARMONTHDAY,TAVG,TMAX,TMIN
19750120,,47,20
19750121,,30,16
19750122,,40,25
19750123,,44,27
19750124,,59,27
19750125,,62,43
19750126,,52,36
19750127,,56,25
19750128,,66,32
19750129,,77,35
19750130,,69,40
19750131,,45,37
19750201,,39,33
19750202,,34,30
19750203,,39,26
19750204,,34,25
19750205,,38,31
19750206,,58,36
19750207,,46,25
19750208,,50,17
19750209,,51,24
19750210,,37,13
19750211,,67,30
19750212,,43,27
19750213,,47,24
19750214,,47,18
19750215,,54,26
19750216,,52,34
19750217,,51,48
19750218,,58,47
19750219,,63,38
19750220,,48,29
19750221,,56,26
19750222,,64,26
19750223,,71,47
19750224,,74,53
19750225,,57,40
19750226,,62,36
19750227,,50,30
19750228,,59,28
19750301,,54,33
19750302,,36,26
19750303,,41,24
19750304,,46,20
19750305,,51,24
19750306,,68,26
19750307,,66,40
19750308,,56,30
19750309,,41,19
19750310,,36,24
19750311,,43,33
19750312,,50,29
19750313,,65,41
19750314,,43,35
19750315,,55,35
19750316,,47,33
19750317,,55,37
19750318,,54,31
19750319,,67,50
19750320,,67,48
19750321,,70,33
19750322,,70,52
19750323,,70,37
19750324,,75,50
19750325,,69,48
19750326,,56,35
19750327,,46,27
19750328,,54,31
19750329,,70,41
19750330,,63,41
19750331,,57,32
19750401,,70,42
19750402,,79,36
19750403,,64,39
19750404,,54,33
19750405,,47,28
19750406,,58,27
19750407,,60,34
19750408,,66,31
19750409,,65,34
19750410,,57,42
19750411,,53,38
19750412,,57,31
19750413,,62,27
19750414,,60,29
19750415,,47,41
19750416,,64,42
19750417,,70,41
19750418,,76,46
19750419,,81,58
19750420,,72,47
19750421,,67,34
19750422,,65,36
19750423,,80,44
19750424,,82,65
19750425,,81,53
19750426,,70,49
19750427,,71,38
19750428,,59,52
19750429,,60,51
19750430,,58,51
19750501,,70,52
19750502,,75,51
19750503,,74,45
19750504,,75,52
19750505,,71,47
19750506,,81,43
19750507,,71,52
19750508,,75,43
19750509,,71,46
19750510,,75,48
19750511,,79,46
19750512,,86,57
19750513,,82,56
19750514,,82,53
19750515,,85,57
19750516,,76,60
19750517,,69,56
19750518,,71,56
19750519,,75,60
19750520,,85,56
19750521,,89,61
19750522,,89,65
19750523,,87,65
19750524,,88,64
19750525,,76,64
19750526,,81,60
19750527,,91,63
19750528,,82,61
19750529,,82,57
19750530,,85,64
19750531,,89,69
19750601,,78,63
19750602,,80,59
19750603,,84,60
19750604,,87,57
19750605,,90,68
19750606,,86,66
19750607,,83,60
19750608,,78,50
19750609,,77,53
19750610,,78,57
19750611,,77,53
19750612,,77,66
19750613,,88,65
19750614,,88,61
19750615,,91,64
19750616,,86,65
19750617,,88,67
19750618,,95,67
19750619,,93,68
19750620,,88,69
19750621,,82,60
19750622,,83,57
19750623,,86,59
19750624,,90,63
19750625,,93,64
19750626,,78,70
19750627,,84,70
19750628,,80,69
19750629,,83,67
19750630,,82,65
19750701,,80,55
19750702,,88,53
19750703,,91,62
19750704,,78,65
19750705,,84,66
19750706,,87,61
19750707,,82,67
19750708,,84,67
19750709,,90,68
19750710,,89,68
19750711,,81,66
19750712,,81,66
19750713,,77,70
19750714,,82,69
19750715,,81,69
19750716,,85,69
19750717,,87,70
19750718,,87,67
19750719,,87,69
19750720,,90,70
19750721,,91,73
19750722,,88,69
19750723,,90,66
19750724,,92,72
19750725,,82,71
19750726,,83,62
19750727,,84,57
19750728,,90,66
19750729,,88,70
19750730,,87,68
19750731,,87,64
19750801,,91,62
19750802,,95,66
19750803,,95,67
19750804,,96,72
19750805,,90,72
19750806,,88,68
19750807,,79,61
19750808,,81,61
19750809,,87,57
19750810,,87,64
19750811,,88,69
19750812,,89,66
19750813,,93,68
19750814,,94,72
19750815,,90,70
19750816,,93,72
19750817,,92,71
19750818,,90,69
19750819,,86,69
19750820,,88,66
19750821,,89,70
19750822,,95,72
19750823,,82,74
19750824,,90,70
19750825,,96,70
19750826,,99,72
19750827,,88,65
19750828,,88,62
19750829,,88,64
19750830,,92,67
19750831,,84,70
19750901,,78,69
19750902,,82,67
19750903,,85,61
19750904,,89,60
19750905,,85,58
19750906,,88,67
19750907,,72,63
19750908,,80,64
19750909,,81,62
19750910,,76,59
19750911,,85,59
19750912,,87,60
19750913,,72,50
19750914,,69,45
19750915,,74,44
19750916,,67,58
19750917,,76,56
19750918,,72,60
19750919,,81,68
19750920,,88,70
19750921,,81,59
19750922,,70,59
19750923,,66,60
19750924,,87,64
19750925,,82,71
19750926,,81,69
19750927,,77,61
19750928,,75,51
19750929,,76,47
19750930,,80,57
19751001,,77,55
19751002,,69,49
19751003,,63,38
19751004,,73,36
19751005,,74,42
19751006,,82,56
19751007,,76,50
19751008,,70,47
19751009,,66,59
19751010,,74,60
19751011,,81,60
19751012,,71,45
19751013,,76,42
19751014,,87,50
19751015,,86,63
19751016,,86,61
19751017,,76,57
19751018,,80,61
19751019,,70,55
19751020,,69,47
19751021,,77,43
19751022,,82,45
19751023,,83,47
19751024,,75,57
19751025,,80,60
19751026,,71,54
19751027,,65,53
19751028,,76,55
19751029,,73,54
19751030,,61,40
19751031,,54,30
19751101,,66,28
19751102,,76,38
19751103,,79,42
19751104,,81,44
19751105,,83,49
19751106,,81,51
19751107,,79,55
19751108,,82,62
19751109,,80,58
19751110,,77,58
19751111,,68,44
19751112,,74,46
19751113,,61,39
19751114,,50,35
19751115,,56,27
19751116,,70,30
19751117,,69,33
19751118,,74,33
19751119,,73,37
19751120,,73,40
19751121,,72,44
19751122,,54,32
19751123,,46,33
19751124,,47,38
19751125,,54,32
19751126,,55,27
19751127,,60,40
19751128,,54,31
19751129,,55,28
19751130,,70,40
19751201,,67,29
19751202,,50,28
19751203,,60,29
19751204,,50,24
19751205,,65,28
19751206,,74,40
19751207,,56,34
19751208,,42,34
19751209,,42,40
19751210,,47,30
19751211,,50,23
19751212,,57,27
19751213,,63,38
19751214,,63,31
19751215,,73,45
19751216,,66,38
19751217,,53,29
19751218,,44,20
19751219,,31,15
19751220,,47,20
19751221,,42,26
19751222,,41,21
19751223,,43,14
19751224,,38,18
19751225,,41,18
19751226,,61,41
19751227,,44,26
19751228,,40,24
19751229,,50,25
19751230,,46,31
19751231,,49,39
19760101,,49,30
19760102,,40,25
19760103,,54,30
19760104,,41,20
19760105,,32,16
19760106,,39,14
19760107,,41,20
19760108,,43,20
19760109,,31,14
19760110,,36,12
19760111,,49,22
19760112,,50,30
19760113,,60,27
19760114,,61,32
19760115,,48,26
19760116,,49,32
19760117,,42,17
19760118,,27,8
19760119,,31,5
19760120,,46,20
19760121,,46,17
19760122,,41,23
19760123,,44,14
19760124,,68,38
19760125,,47,32
19760126,,74,39
19760127,,65,36
19760128,,44,30
19760129,,55,32
19760130,,44,21
19760131,,52,26
19760201,,57,38
19760202,,41,17
19760203,,46,23
19760204,,66,24
19760205,,52,34
19760206,,39,27
19760207,,38,19
19760208,,49,24
19760209,,45,25
19760210,,65,21
19760211,,67,32
19760212,,58,24
19760213,,70,44
19760214,,63,25
19760215,,60,23
19760216,,78,52
19760217,,81,58
19760218,,77,58
19760219,,69,52
19760220,,64,34
19760221,,73,39
19760222,,67,38
19760223,,47,26
19760224,,68,24
19760225,,75,34
19760226,,75,46
19760227,,74,46
19760228,,79,40
19760229,,78,43
19760301,,80,52
19760302,,74,46
19760303,,67,48
19760304,,71,47
19760305,,84,61
19760306,,67,38
19760307,,63,31
19760308,,63,30
19760309,,47,32
19760310,,42,30
19760311,,63,34
19760312,,60,32
19760313,,77,40
19760314,,56,28
19760315,,62,28
19760316,,60,38
19760317,,46,27
19760318,,59,19
19760319,,74,45
19760320,,80,45
19760321,,79,41
19760322,,58,35
19760323,,63,30
19760324,,74,34
19760325,,69,51
19760326,,75,39
19760327,,77,53
19760328,,70,40
19760329,,68,35
19760330,,56,51
19760331,,68,49
19760401,,69,48
19760402,,59,40
19760403,,73,30
19760404,,82,41
19760405,,66,29
19760406,,73,33
19760407,,71,43
19760408,,69,45
19760409,,55,34
19760410,,68,31
19760411,,75,40
19760412,,56,30
19760413,,71,25
19760414,,78,34
19760415,,86,38
19760416,,93,56
19760417,,96,59
19760418,,95,56
19760419,,92,59
19760420,,94,64
19760421,,90,58
19760422,,87,60
19760423,,89,51
19760424,,90,53
19760425,,82,67
19760426,,71,41
19760427,,65,31
19760428,,68,37
19760429,,73,42
19760430,,78,38
19760501,,72,59
19760502,,79,56
19760503,,73,46
19760504,,68,43
19760505,,80,42
19760506,,84,60
19760507,,80,58
19760508,,63,39
19760509,,74,34
19760510,,79,44
19760511,,77,56
19760512,,76,50
19760513,,76,47
19760514,,86,59
19760515,,85,66
19760516,,85,70
19760517,,82,66
19760518,,82,48
19760519,,73,44
19760520,,82,41
19760521,,88,60
19760522,,80,52
19760523,,75,54
19760524,,75,49
19760525,,70,45
19760526,,68,53
19760527,,77,47
19760528,,80,47
19760529,,73,63
19760530,,83,65
19760531,,91,60
19760601,,90,64
19760602,,78,56
19760603,,64,54
19760604,,75,52
19760605,,76,47
19760606,,82,45
19760607,,85,51
19760608,,88,58
19760609,,92,58
19760610,,93,63
19760611,,92,69
19760612,,96,66
19760613,,68,63
19760614,,84,65
19760615,,91,68
19760616,,91,71
19760617,,79,69
19760618,,89,69
19760619,,86,68
19760620,,87,70
19760621,,82,73
19760622,,86,69
19760623,,86,67
19760624,,86,67
19760625,,91,69
19760626,,86,68
19760627,,93,64
19760628,,93,66
19760629,,92,66
19760630,,90,71
19760701,,86,66
19760702,,87,57
19760703,,81,65
19760704,,82,62
19760705,,84,59
19760706,,84,63
19760707,,83,68
19760708,,91,60
19760709,,88,67
19760710,,91,62
19760711,,92,70
19760712,,96,67
19760713,,88,53
19760714,,90,57
19760715,,100,64
19760716,,93,69
19760717,,86,67
19760718,,85,65
19760719,,89,58
19760720,,92,60
19760721,,96,68
19760722,,91,72
19760723,,87,72
19760724,,97,71
19760725,,86,62
19760726,,86,57
19760727,,94,67
19760728,,94,70
19760729,,96,71
19760730,,96,70
19760731,,92,70
19760801,,87,69
19760802,,79,66
19760803,,83,59
19760804,,85,58
19760805,,90,58
19760806,,95,64
19760807,,90,70
19760808,,81,69
19760809,,76,63
19760810,,87,60
19760811,,90,60
19760812,,94,60
19760813,,97,69
19760814,,92,69
19760815,,92,69
19760816,,84,63
19760817,,83,60
19760818,,84,62
19760819,,82,59
19760820,,82,54
19760821,,89,61
19760822,,93,63
19760823,,96,66
19760824,,94,66
19760825,,90,68
19760826,,95,67
19760827,,94,69
19760828,,92,71
19760829,,94,70
19760830,,78,49
19760831,,82,47
19760901,,84,56
19760902,,72,61
19760903,,77,61
19760904,,83,58
19760905,,90,63
19760906,,79,49
19760907,,85,45
19760908,,96,52
19760909,,95,55
19760910,,78,51
19760911,,78,43
19760912,,87,49
19760913,,88,53
19760914,,85,54
19760915,,73,67
19760916,,85,68
19760917,,84,61
19760918,,85,56
19760919,,84,58
19760920,,85,57
19760921,,81,55
19760922,,75,45
19760923,,81,42
19760924,,82,51
19760925,,81,58
19760926,,79,58
19760927,,86,70
19760928,,76,56
19760929,,71,55
19760930,,69,60
19761001,,69,59
19761002,,64,58
19761003,,65,59
19761004,,70,60
19761005,,75,55
19761006,,75,53
19761007,,81,61
19761008,,80,62
19761009,,75,52
19761010,,67,44
19761011,,64,39
19761012,,66,36
19761013,,76,38
19761014,,70,39
19761015,,78,36
19761016,,69,48
19761017,,51,40
19761018,,56,31
19761019,,59,28
19761020,,66,52
19761021,,62,35
19761022,,61,30
19761023,,60,27
19761024,,60,44
19761025,,71,54
19761026,,63,34
19761027,,47,30
19761028,,48,25
19761029,,67,22
19761030,,60,30
19761031,,69,48
19761101,,57,30
19761102,,56,24
19761103,,63,30
19761104,,66,33
19761105,,56,35
19761106,,58,31
19761107,,66,29
19761108,,45,28
19761109,,48,17
19761110,,68,33
19761111,,60,27
19761112,,42,28
19761113,,45,21
19761114,,45,18
19761115,,40,37
19761116,,54,27
19761117,,52,28
19761118,,62,31
19761119,,76,38
19761120,,57,32
19761121,,58,26
19761122,,47,28
19761123,,44,20
19761124,,47,16
19761125,,62,24
19761126,,68,40
19761127,,74,53
19761128,,65,55
19761129,,64,29
19761130,,33,15
19761201,,39,12
19761202,,56,23
19761203,,31,16
19761204,,49,14
19761205,,47,23
19761206,,51,22
19761207,,59,41
19761208,,42,15
19761209,,41,13
19761210,,57,25
19761211,,60,44
19761212,,62,46
19761213,,57,23
19761214,,42,17
19761215,,47,29
19761216,,48,38
19761217,,56,31
19761218,,52,24
19761219,,62,25
19761220,,59,42
19761221,,42,18
19761222,,36,15
19761223,,48,26
19761224,,35,18
19761225,,47,19
19761226,,48,34
19761227,,38,27
19761228,,61,34
19761229,,43,26
19761230,,42,13
19761231,,48,17
19770101,,34,14
19770102,,39,11
19770103,,33,18
19770104,,40,27
19770105,,31,24
19770106,,32,22
19770107,,43,18
19770108,,35,9
19770109,,33,15
19770110,,43,18
19770111,,28,10
19770112,,35,9
19770113,,28,7
19770114,,33,25
19770115,,40,22
19770116,,32,3
19770117,,17,-1
19770118,,19,7
19770119,,31,0
19770120,,36,10
19770121,,36,16
19770122,,35,18
19770123,,35,7
19770124,,37,23
19770125,,44,30
19770126,,42,25
19770127,,47,25
19770128,,55,16
19770129,,28,11
19770130,,35,15
19770131,,34,20
19770201,,40,21
19770202,,41,10
19770203,,54,23
19770204,,58,32
19770205,,48,19
19770206,,32,12
19770207,,37,13
19770208,,40,10
19770209,,54,13
19770210,,65,32
19770211,,70,27
19770212,,63,28
19770213,,61,38
19770214,,59,25
19770215,,50,30
19770216,,38,22
19770217,,37,14
19770218,,42,13
19770219,,55,30
19770220,,47,27
19770221,,44,25
19770222,,66,20
19770223,,73,40
19770224,,69,45
19770225,,72,43
19770226,,77,40
19770227,,77,53
19770228,,56,33
19770301,,58,24
19770302,,53,25
19770303,,63,25
19770304,,68,50
19770305,,68,43
19770306,,56,45
19770307,,57,36
19770308,,58,26
19770309,,72,33
19770310,,70,39
19770311,,75,46
19770312,,76,44
19770313,,80,57
19770314,,71,41
19770315,,75,36
19770316,,76,50
19770317,,67,39
19770318,,72,50
19770319,,60,45
19770320,,56,40
19770321,,55,30
19770322,,60,42
19770323,,58,36
19770324,,63,35
19770325,,58,28
19770326,,63,33
19770327,,68,27
19770328,,79,50
19770329,,85,62
19770330,,81,66
19770331,,77,47
19770401,,70,34
19770402,,76,50
19770403,,84,58
19770404,,59,45
19770405,,70,46
19770406,,58,38
19770407,,59,25
19770408,,68,37
19770409,,56,29
19770410,,71,27
19770411,,90,43
19770412,,92,50
19770413,,91,56
19770414,,90,54
19770415,,77,48
19770416,,77,44
19770417,,78,45
19770418,,82,47
19770419,,88,54
19770420,,80,53
19770421,,85,52
19770422,,87,61
19770423,,84,65
19770424,,74,58
19770425,,71,53
19770426,,66,44
19770427,,74,42
19770428,,86,51
19770429,,67,39
19770430,,74,36
19770501,,80,43
19770502,,81,58
19770503,,82,59
19770504,,75,62
19770505,,87,64
19770506,,92,54
19770507,,85,61
19770508,,77,51
19770509,,63,41
19770510,,67,42
19770511,,73,45
19770512,,81,42
19770513,,88,56
19770514,,82,59
19770515,,76,50
19770516,,82,40
19770517,,91,53
19770518,,94,59
19770519,,90,61
19770520,,83,58
19770521,,85,53
19770522,,86,57
19770523,,86,60
19770524,,74,59
19770525,,75,67
19770526,,82,58
19770527,,85,52
19770528,,88,53
19770529,,88,62
19770530,,68,61
19770531,,77,63
19770601,,87,66
19770602,,87,64
19770603,,80,53
19770604,,85,48
19770605,,89,55
19770606,,92,57
19770607,,72,52
19770608,,77,44
19770609,,76,59
19770610,,77,56
19770611,,84,55
19770612,,86,53
19770613,,87,60
19770614,,79,57
19770615,,81,64
19770616,,86,59
19770617,,86,60
19770618,,94,68
19770619,,95,69
19770620,,93,69
19770621,,90,59
19770622,,84,55
19770623,,78,61
19770624,,80,57
19770625,,83,62
19770626,,96,67
19770627,,95,68
19770628,,97,70
19770629,,94,70
19770630,,94,60
19770701,,97,75
19770702,,93,70
19770703,,90,68
19770704,,96,67
19770705,,97,69
19770706,,105,76
19770707,,103,73
19770708,,101,71
19770709,,99,72
19770710,,90,72
19770711,,87,71
19770712,,94,71
19770713,,96,73
19770714,,91,72
19770715,,94,66
19770716,,96,68
19770717,,99,73
19770718,,101,75
19770719,,98,74
19770720,,100,76
19770721,,101,74
19770722,,90,71
19770723,,85,60
19770724,,90,56
19770725,,83,73
19770726,,86,68
19770727,,81,58
19770728,,85,54
19770729,,89,59
19770730,,90,69
19770731,,94,67
19770801,,92,70
19770802,,88,67
19770803,,88,71
19770804,,94,72
19770805,,99,72
19770806,,99,74
19770807,,99,76
19770808,,100,74
19770809,,93,73
19770810,,99,74
19770811,,98,79
19770812,,101,72
19770813,,96,71
19770814,,93,73
19770815,,93,72
19770816,,90,70
19770817,,96,70
19770818,,80,62
19770819,,81,61
19770820,,81,60
19770821,,83,60
19770822,,89,68
19770823,,89,67
19770824,,88,68
19770825,,79,56
19770826,,81,54
19770827,,89,62
19770828,,91,67
19770829,,90,68
19770830,,94,68
19770831,,94,70
19770901,,93,70
19770902,,95,69
19770903,,95,68
19770904,,88,70
19770905,,93,70
19770906,,92,71
19770907,,84,71
19770908,,75,69
19770909,,73,68
19770910,,89,68
19770911,,79,54
19770912,,78,50
19770913,,84,55
19770914,,89,66
19770915,,76,65
19770916,,85,66
19770917,,84,69
19770918,,91,63
19770919,,93,70
19770920,,88,68
19770921,,81,61
19770922,,78,58
19770923,,81,54
19770924,,85,61
19770925,,90,67
19770926,,88,70
19770927,,87,58
19770928,,79,57
19770929,,76,47
19770930,,81,48
19771001,,82,60
19771002,,90,58
19771003,,68,48
19771004,,71,43
19771005,,74,38
19771006,,73,48
19771007,,71,47
19771008,,65,49
19771009,,74,49
19771010,,65,36
19771011,,70,40
19771012,,60,48
19771013,,54,44
19771014,,52,44
19771015,,71,43
19771016,,63,43
19771017,,59,34
19771018,,70,28
19771019,,67,45
19771020,,70,42
19771021,,70,35
19771022,,77,38
19771023,,66,47
19771024,,70,43
19771025,,73,44
19771026,,71,57
19771027,,74,66
19771028,,74,64
19771029,,66,48
19771030,,66,42
19771031,,64,40
19771101,,68,49
19771102,,72,60
19771103,,71,65
19771104,,78,66
19771105,,78,67
19771106,,69,64
19771107,,71,65
19771108,,74,53
19771109,,75,60
19771110,,77,47
19771111,,56,35
19771112,,49,31
19771113,,46,28
19771114,,53,24
19771115,,68,33
19771116,,74,42
19771117,,75,52
19771118,,61,37
19771119,,60,29
19771120,,59,32
19771121,,63,40
19771122,,60,42
19771123,,46,40
19771124,,64,45
19771125,,50,41
19771126,,43,26
19771127,,39,17
19771128,,47,34
19771129,,46,38
19771130,,45,37
19771201,,65,42
19771202,,55,41
19771203,,63,31
19771204,,51,40
19771205,,63,41
19771206,,57,32
19771207,,37,24
19771208,,37,17
19771209,,57,25
19771210,,34,16
19771211,,31,13
19771212,,40,13
19771213,,65,31
19771214,,61,50
19771215,,65,37
19771216,,57,30
19771217,,61,39
19771218,,52,43
19771219,,43,39
19771220,,43,38
19771221,,45,40
19771222,,45,27
19771223,,52,26
19771224,,59,31
19771225,,63,34
19771226,,35,19
19771227,,34,11
19771228,,31,14
19771229,,43,16
19771230,,39,27
19771231,,43,35
19780101,,42,34
19780102,,42,30
19780103,,40,23
19780104,,41,15
19780105,,54,24
19780106,,50,33
19780107,,44,39
19780108,,68,42
19780109,,64,13
19780110,,28,10
19780111,,34,12
19780112,,40,10
19780113,,33,29
19780114,,42,31
19780115,,34,26
19780116,,37,16
19780117,,46,30
19780118,,51,30
19780119,,34,27
19780120,,34,31
19780121,,39,26
19780122,,34,19
19780123,,42,18
19780124,,46,18
19780125,,67,34
19780126,,69,25
19780127,,41,25
19780128,,34,17
19780129,,32,19
19780130,,36,16
19780131,,34,13
19780201,,38,11
19780202,,34,13
19780203,,31,11
19780204,,31,13
19780205,,35,10
19780206,,29,19
19780207,,36,14
19780208,,37,16
19780209,,38,21
19780210,,39,19
19780211,,44,13
19780212,,50,19
19780213,,41,19
19780214,,43,27
19780215,,44,24
19780216,,41,26
19780217,,47,28
19780218,,48,31
19780219,,40,23
19780220,,42,15
19780221,,49,19
19780222,,32,23
19780223,,44,17
19780224,,50,24
19780225,,69,29
19780226,,47,22
19780227,,42,20
19780228,,32,18
19780301,,37,27
19780302,,35,19
19780303,,33,26
19780304,,37,23
19780305,,38,15
19780306,,44,23
19780307,,36,26
19780308,,32,28
19780309,,33,28
19780310,,42,33
19780311,,62,27
19780312,,68,47
19780313,,57,42
19780314,,70,42
19780315,,70,41
19780316,,46,36
19780317,,50,33
19780318,,48,27
19780319,,78,37
19780320,,63,42
19780321,,78,39
19780322,,67,47
19780323,,78,39
19780324,,67,47
19780325,,49,37
19780326,,44,38
19780327,,58,42
19780328,,68,42
19780329,,76,43
19780330,,58,36
19780331,,69,36
19780401,,88,50
19780402,,71,49
19780403,,57,42
19780404,,83,44
19780405,,80,48
19780406,,67,43
19780407,,81,47
19780408,,82,52
19780409,,69,42
19780410,,75,44
19780411,,89,49
19780412,,75,44
19780413,,78,55
19780414,,73,42
19780415,,73,38
19780416,,60,37
19780417,,60,44
19780418,,58,42
19780419,,70,50
19780420,,67,48
19780421,,58,42
19780422,,67,40
19780423,,73,33
19780424,,79,44
19780425,,56,47
19780426,,50,41
19780427,,52,37
19780428,,74,34
19780429,,76,40
19780430,,72,58
19780501,,65,41
19780502,,69,37
19780503,,73,37
19780504,,56,47
19780505,,62,47
19780506,,70,50
19780507,,67,53
19780508,,67,51
19780509,,85,60
19780510,,73,52
19780511,,77,43
19780512,,80,55
19780513,,75,56
19780514,,74,56
19780515,,69,52
19780516,,68,54
19780517,,78,54
19780518,,84,49
19780519,,82,58
19780520,,91,52
19780521,,88,67
19780522,,78,55
19780523,,82,50
19780524,,87,69
19780525,,86,60
19780526,,86,61
19780527,,74,64
19780528,,73,65
19780529,,85,66
19780530,,86,63
19780531,,82,67
19780601,,89,65
19780602,,89,62
19780603,,88,63
19780604,,78,57
19780605,,87,54
19780606,,83,63
19780607,,86,67
19780608,,88,72
19780609,,89,65
19780610,,83,55
19780611,,84,54
19780612,,87,55
19780613,,85,58
19780614,,75,48
19780615,,78,47
19780616,,84,54
19780617,,88,63
19780618,,93,67
19780619,,93,70
19780620,,89,67
19780621,,87,69
19780622,,85,62
19780623,,85,63
19780624,,85,61
19780625,,85,60
19780626,,91,66
19780627,,96,70
19780628,,97,70
19780629,,92,70
19780630,,94,69
19780701,,86,67
19780702,,81,67
19780703,,82,68
19780704,,85,67
19780705,,81,59
19780706,,85,55
19780707,,87,58
19780708,,93,64
19780709,,96,69
19780710,,98,73
19780711,,80,62
19780712,,83,55
19780713,,84,54
19780714,,83,70
19780715,,90,68
19780716,,73,68
19780717,,87,65
19780718,,89,66
19780719,,90,67
19780720,,90,65
19780721,,94,67
19780722,,98,74
19780723,,100,74
19780724,,93,68
19780725,,87,69
19780726,,93,69
19780727,,90,72
19780728,,90,72
19780729,,90,66
19780730,,92,71
19780731,,92,71
19780801,,87,71
19780802,,87,71
19780803,,89,72
19780804,,87,70
19780805,,88,70
19780806,,86,73
19780807,,90,72
19780808,,91,74
19780809,,92,72
19780810,,89,70
19780811,,90,70
19780812,,89,71
19780813,,87,73
19780814,,90,72
19780815,,92,74
19780816,,95,73
19780817,,96,74
19780818,,92,69
19780819,,94,68
19780820,,88,68
19780821,,85,61
19780822,,86,60
19780823,,90,61
19780824,,94,64
19780825,,93,68
19780826,,87,72
19780827,,88,71
19780828,,93,74
19780829,,98,73
19780830,,91,70
19780831,,90,71
19780901,,78,67
19780902,,84,63
19780903,,86,66
19780904,,86,67
19780905,,87,63
19780906,,90,61
19780907,,96,65
19780908,,90,71
19780909,,95,70
19780910,,81,68
19780911,,88,69
19780912,,91,68
19780913,,72,59
19780914,,75,58
19780915,,81,63
19780916,,90,63
19780917,,90,65
19780918,,95,68
19780919,,96,71
19780920,,82,65
19780921,,86,60
19780922,,90,67
19780923,,68,59
19780924,,71,55
19780925,,81,61
19780926,,74,53
19780927,,77,46
19780928,,85,55
19780929,,72,44
19780930,,77,48
19781001,,71,62
19781002,,76,54
19781003,,74,50
19781004,,69,58
19781005,,76,58
19781006,,76,53
19781007,,65,46
19781008,,66,43
19781009,,64,34
19781010,,73,38
19781011,,74,38
19781012,,82,48
19781013,,83,56
19781014,,76,52
19781015,,63,42
19781016,,68,39
19781017,,58,41
19781018,,65,35
19781019,,68,41
19781020,,69,43
19781021,,75,38
19781022,,82,46
19781023,,86,51
19781024,,59,36
19781025,,70,30
19781026,,81,52
19781027,,71,45
19781028,,65,42
19781029,,70,45
19781030,,66,44
19781031,,70,44
19781101,,73,39
19781102,,71,41
19781103,,71,37
19781104,,59,50
19781105,,75,45
19781106,,79,38
19781107,,79,48
19781108,,61,45
19781109,,66,36
19781110,,64,43
19781111,,63,46
19781112,,69,44
19781113,,60,49
19781114,,73,44
19781115,,68,56
19781116,,56,50
19781117,,68,49
19781118,,75,50
19781119,,58,40
19781120,,57,39
19781121,,62,39
19781122,,54,44
19781123,,54,43
19781124,,68,39
19781125,,49,31
19781126,,49,28
19781127,,42,37
19781128,,65,39
19781129,,46,35
19781130,,54,40
19781201,,51,30
19781202,,60,29
19781203,,57,35
19781204,,73,53
19781205,,57,38
19781206,,68,36
19781207,,65,33
19781208,,77,55
19781209,,75,34
19781210,,39,27
19781211,,38,23
19781212,,49,23
19781213,,61,27
19781214,,45,26
19781215,,56,25
19781216,,57,27
19781217,,52,33
19781218,,51,29
19781219,,52,30
19781220,,55,39
19781221,,61,37
19781222,,48,28
19781223,,55,25
19781224,,54,29
19781225,,53,33
19781226,,58,25
19781227,,45,24
19781228,,36,20
19781229,,40,18
19781230,,43,21
19781231,,52,37
19790101,,70,50
19790102,,67,32
19790103,,32,14
19790104,,36,11
19790105,,42,23
19790106,,40,29
19790107,,61,37
19790108,,62,29
19790109,,34,20
19790110,,38,17
19790111,,30,24
19790112,,30,23
19790113,,34,28
19790114,,49,30
19790115,,39,20
19790116,,51,26
19790117,,56,30
19790118,,50,23
19790119,,28,17
19790120,,33,24
19790121,,61,32
19790122,,47,30
19790123,,46,24
19790124,,65,39
19790125,,46,30
19790126,,51,30
19790127,,50,28
19790128,,43,34
19790129,,53,33
19790130,,46,25
19790131,,34,23
19790201,,40,25
19790202,,43,18
19790203,,34,19
19790204,,53,27
19790205,,36,22
19790206,,31,13
19790207,,28,23
19790208,,44,10
19790209,,29,8
19790210,,32,-8
19790211,,23,-1
19790212,,36,16
19790213,,27,8
19790214,,28,7
19790215,,35,25
19790216,,36,19
19790217,,21,8
19790218,,14,6
19790219,,40,10
19790220,,44,3
19790221,,50,27
19790222,,56,37
19790223,,48,35
19790224,,43,38
19790225,,44,39
19790226,,44,37
19790227,,53,30
19790228,,59,28
19790301,,60,35
19790302,,64,37
19790303,,51,35
19790304,,71,40
19790305,,68,58
19790306,,64,44
19790307,,60,36
19790308,,58,33
19790309,,65,38
19790310,,71,46
19790311,,56,30
19790312,,56,26
19790313,,67,28
19790314,,70,43
19790315,,45,27
19790316,,51,18
19790317,,67,26
19790318,,69,33
19790319,,65,31
19790320,,67,32
19790321,,68,37
19790322,,69,34
19790323,,71,34
19790324,,71,48
19790325,,59,43
19790326,,56,37
19790327,,57,31
19790328,,59,32
19790329,,82,45
19790330,,85,60
19790331,,84,62
19790401,,85,58
19790402,,82,55
19790403,,70,49
19790404,,52,47
19790405,,69,41
19790406,,66,35
19790407,,59,30
19790408,,67,43
19790409,,68,44
19790410,,63,36
