Date Local,Latitude,Longitude,Ozone (ppm),State Name
2020-07-28,33.553056,-86.815,0.025529,Alabama
2020-07-29,33.553056,-86.815,0.016824,Alabama
2020-07-30,33.553056,-86.815,0.014118,Alabama
2020-07-31,33.553056,-86.815,0.017941,Alabama
2020-07-01,33.485556,-86.915,0.025294,Alabama
2020-07-02,33.485556,-86.915,0.022941,Alabama
2020-07-03,33.485556,-86.915,0.038765,Alabama
2020-07-04,33.485556,-86.915,0.028647,Alabama
2020-07-05,33.485556,-86.915,0.027412,Alabama
2020-07-06,33.485556,-86.915,0.026882,Alabama
2020-07-07,33.485556,-86.915,0.029824,Alabama
2020-07-08,33.485556,-86.915,0.019765,Alabama
2020-07-09,33.485556,-86.915,0.018824,Alabama
2020-07-10,33.485556,-86.915,0.024647,Alabama
2020-07-11,33.485556,-86.915,0.028294,Alabama
2020-07-12,33.485556,-86.915,0.021941,Alabama
2020-07-13,33.485556,-86.915,0.026294,Alabama
2020-07-14,33.485556,-86.915,0.0343529999999999,Alabama
2020-07-15,33.485556,-86.915,0.038313,Alabama
2020-07-16,33.485556,-86.915,0.036353,Alabama
2020-07-17,33.485556,-86.915,0.033529,Alabama
2020-07-18,33.485556,-86.915,0.038471,Alabama
2020-07-19,33.485556,-86.915,0.027882,Alabama
2020-07-20,33.485556,-86.915,0.023294,Alabama
2020-07-21,33.485556,-86.915,0.015176,Alabama
2020-07-22,33.485556,-86.915,0.025235,Alabama
2020-07-23,33.485556,-86.915,0.027176,Alabama
2020-07-24,33.485556,-86.915,0.020353,Alabama
2020-07-25,33.485556,-86.915,0.024294,Alabama
2020-07-26,33.485556,-86.915,0.021941,Alabama
2020-07-27,33.485556,-86.915,0.023,Alabama
2020-07-28,33.485556,-86.915,0.025118,Alabama
2020-07-29,33.485556,-86.915,0.0168819999999999,Alabama
2020-07-30,33.485556,-86.915,0.015529,Alabama
2020-07-31,33.485556,-86.915,0.018647,Alabama
2020-07-01,33.331111,-87.00361099999998,0.029118,Alabama
2020-07-02,33.331111,-87.00361099999998,0.021706,Alabama
2020-07-03,33.331111,-87.00361099999998,0.040765,Alabama
2020-07-04,33.331111,-87.00361099999998,0.026412,Alabama
2020-07-05,33.331111,-87.00361099999998,0.026706,Alabama
2020-07-06,33.331111,-87.00361099999998,0.019824,Alabama
2020-07-07,33.331111,-87.00361099999998,0.030294,Alabama
2020-07-08,33.331111,-87.00361099999998,0.01375,Alabama
2020-07-09,33.331111,-87.00361099999998,0.020647,Alabama
2020-07-10,33.331111,-87.00361099999998,0.024059,Alabama
2020-07-11,33.331111,-87.00361099999998,0.027,Alabama
2020-07-12,33.331111,-87.00361099999998,0.020647,Alabama
2020-07-13,33.331111,-87.00361099999998,0.022647,Alabama
2020-07-14,33.331111,-87.00361099999998,0.025941,Alabama
2020-07-15,33.331111,-87.00361099999998,0.037765,Alabama
2020-07-16,33.331111,-87.00361099999998,0.026588,Alabama
